comment,Language,sentiment
goods na goods tas ambilis ng dating ang ganda pa tas mura kuha na kayo 5star ka sakin hahahaha,Filipino,Positive
product quality true to the description item is as qc ok will support k,English,Positive
item is nice and the quality is good excellent quality very accommodating seller well packed will order again thanks,English,Positive
seller is accommodating nice and complete items as received nice quality too hope this will last forever,English,Positive
napakaayos ng packaging at napakaganda ng item solid na solid,Filipino,Positive
thanks po complete order to grow up ma ikaw ra adto ko sayo carcar dalikyatannako kuha unya balik kodayon kay trabaho i am the best to grow up and i will be a fully verified user of the best way to grow up and i will be a fully verified user of the list is too late to grow in pregnancy and i will be,Mixed/Other,Positive
good packaging good product quality good value for money fast delivery excellent service by seller,English,Positive
product quality aluminum ampoules true to description true to description good quality next time support the shop again,English,Positive
good quality products and beautifully attached to the car beautiful bags right size will support the shop next time,English,Positive
goods sa price need lang lagyan ng grease yung bolt,Filipino,Positive
very very very mixed and very solid good size very fast post,English,Positive
came within 5 days overseas the item is good and very nice does its job thank you,English,Positive
thank you ztto and shoppee delivery,English,Positive
good stuff affordable price fast delivery item received in good condition recommended seller will purchase again in future,English,Positive
1 good product quality 2 good value for money 3 fast delivery 4 excellent service by seller outstanding packaging 5 recommended,English,Positive
maganda guys solid bagay sa bike ko kahit ang daming gasgas hahha thank you seller,Filipino,Positive
maganda ang item at naka bubble wrap walang gasgas o dent sakto ang binigay ni seller sana magtagal salamat shoppe thank you po seller video not related mabait si seller complete item,Filipino,Positive
sulit pera mo dito kahit na made in china pero kilala naman ang brand,Filipino,Positive
kompleto at maganda edit ko nalang pag naikabit nasa delivery lang tlga tumagal,Filipino,Positive
d ko pa na e kabit kaya 4 stars lang muna saka na full review ko nito pag na e kabit ko na thanks seller,Filipino,Positive
thank you shope seller deliver mabelis dumaing,English,Positive
thank you kay shopee at kay seller solid ang pag iintay ko dumating nmn na maayos at wala damage 5 star para dto hehehehhehehe,Filipino,Positive
performance dipa na try,Filipino,Positive
sobrang ganda at quality sobrang legit salamat seller at sorang bait ng rider,Filipino,Positive
hinde kupa na testing pero mukang matibay at maganda at tsaka shimano talaga sya at hinde sheming,Filipino,Positive
first time kong omorder d2 legit shimano guys made in malaysia order na din kau guys hnd sayang pera nyo thank you seller,Filipino,Positive
legit shimano received item without leak not yet install pero ok nmn at maayos sya,English,Positive
mabait ung seller nag send ng pic bago ipadala and wlang gas gas,Filipino,Positive
thank you seller for the good quality of the product and good condition of the items kudos to your business god bless you,English,Positive
super legit kalako scam kaya nag vid ako before mag open nang parcel pero nungnakita ko ma maganda yung laman binura ko agad,Filipino,Positive
quality di pa nagagamit hopefully it will be better and good,Mixed/Other,Positive
suitability goods,English,Positive
legit yung item ang ganda,Filipino,Positive
what a nice,English,Positive
legit shop,English,Positive
good items,English,Positive
all goods,English,Positive
mabait pa delivery rider,Filipino,Positive
solid brakeset,Filipino,Positive
mabilis dumating seller mabait din yung seller at very accommodating arrived safe at walang damage dahil binalot ng maayos with bubble wrap very affordable product satisfied costumer here highly recommendable 5 star salamat seller kuya rider at shopee,Mixed/Other,Positive
all goods salamat seller makinis na makinis ung item sana po tumagal sken hehehehe,Filipino,Positive
salamat seller,Filipino,Positive
hindi shimano yon box nya pero goods nmn wala gasgas salamt,Filipino,Positive
salamat seller at sa nag deliver waang damage ang item,Filipino,Positive
legit maganda pagkabalot at ayos din ganda ty seller,Filipino,Positive
good packaging and super sulit gandathank you seller,Filipino,Positive
quality very good,English,Positive
worth it i recommend this shop,English,Positive
goods naman legit shimano the following link for you to know what you are not filtered water and a half day leave a comment from,Mixed/Other,Positive
quality no dents guys,English,Positive
satisfied sa performance,Mixed/Other,Positive
goods na goods,Mixed/Other,Positive
quality good quality,English,Positive
quality legit shimano,English,Positive
i love u,English,Positive
maganda,Filipino,Positive
very good items thank you,English,Positive
sulit na sulit legit seller,Filipino,Positive
all goods no damage fast deliver,English,Positive
ok goods,English,Positive
suitability good,English,Positive
suitability very  very good,English,Positive
recommended,English,Positive
legit seller,English,Positive
quality very nice,English,Positive
suitability very  good,English,Positive
quality very good,English,Positive
suitability very  good,English,Positive
performance all good,English,Positive
maganda sya legit,Filipino,Positive
suitability very  good,English,Positive
goods,English,Positive
ah basta ang talap gamitin,Filipino,Positive
bilis dumating legit shimano,Filipino,Positive
good and nice,English,Positive
performance magandarin performance malakas,Mixed/Other,Positive
very good items thank you,English,Positive
ang lakas ng kapit goods tlaga,Filipino,Positive
apaka ganda poh salamat,Filipino,Positive
performance goods na good matibay siya,Filipino,Positive
fake hydraulic brake to di agad kumakapit mabagal bago huminto masasayang lang pera nyo,Filipino,Positive
maganda legit talaga ok,Filipino,Positive
good items napaka angas medjo may gas gas pero gumagana naman kaya bahala na yeyyy waiting nalang ako sa rotors ko kung anoano nalang susulat ko para sa coins,Filipino,Positive
goods nman cya naikabit na sa bike ng anak ko next time please check the rubber na hindi naisama sa pagpacked nyo hindi narin cguro napansin yan but over all good ang product nyo,Filipino,Positive
quality ok na ok,Filipino,Positive
this item is good,English,Positive
recieved ko na yung items mabilis lang sana matibay to,Filipino,Positive
maganda po sya kahit my gasgas tska malakas dn kapit ng preno,Filipino,Positive
legit mga lods,Filipino,Positive
suitability,English,Positive
all goods no issues found,English,Positive
goods na goods eto yung recommend kona preno talaga na budget meal bibile ulet ako dito soon,Filipino,Positive
suitability very  good,English,Positive
hello the product itself is excellent kaso akala ko may kasama nang fitting pero wala pla pero the rest ok nmn so thanks seller hehe,English,Positive
suitabilitymukha namang original,Filipino,Positive
nagustuhan ng anak ko maganda daw,Filipino,Positive
quality goods,English,Positive
goodsssss,Mixed/Other,Positive
suitability excellent for 160mm rotor,English,Positive
mabilis dumating,Filipino,Positive
suitability sobrang bilis nya dumating,Filipino,Positive
okay naman medyo maiksi lang wirecable sa rear pero overall sobrang goods,Filipino,Positive
maganda walang gasgas d2 na kau bumili,Filipino,Positive
nice panalo talaga sa shop na to pang apat na order kona dito sulit talaga,Filipino,Positive
well packed,English,Positive
salamat shopee,Filipino,Positive
bilis ng order q,Filipino,Positive
thank you for your great product,English,Positive
good quality recommend ko sa inyo,English,Positive
napaka ganda sulit pera mo ditu,Filipino,Positive
solid brake set for the price,English,Positive
legit chat di sya shiming,Filipino,Positive
quality orig shimano,Mixed/Other,Positive
performance legit items ang ganda thank you seller,English,Positive
will order again and again,English,Positive
all good no damage tiyaka maganda malakas pa ang preno,Filipino,Positive
thank you for the good item bili na kayo guys,English,Positive
ayos nmn sana mas gumanda pa yung packaging para iwas gasgas narin,Filipino,Positive
di pa nakabut kaya di q alam if quality pero ok nman wala nga lng box,Filipino,Positive
salamat seller very nice and arrived too early than expected lead time salamat seller courier man,Filipino,Positive
legit maganda thank you,Filipino,Positive
all goods thank you sa seller,Filipino,Positive
at napakasolid nga naman sa uulitin salamat sa magandang deal walang gasgas pero nd ko pa na try salamat shoppee salamat sa shop na to,Filipino,Positive
performance 10,Mixed/Other,Positive
maganda at legit yung shop,Filipino,Positive
very good quality,English,Positive
nice sulit na sulit,Mixed/Other,Positive
quality,English,Positive
performance good,English,Positive
quality good,English,Positive
performance 1010,English,Positive
true to description true product quality good very good very good the material is plastic but its very good to withstand high temperatures,English,Positive
product quality excellent exactly as described good quality product,English,Positive
true to the description exactly product quality value for money value for money the water is a bit tight compared to the water bottle,English,Positive
the delivery is super fast the product quality is good overall i rate good recommended thank you,English,Positive
fast delivery according to the order model not sure if its durable after further evaluation,English,Positive
the product corresponds to the description the delivery is careful the price is temporary the capacity is a bit big when hung in a sports car,English,Positive
the goods are ok the plastic seems to be sturdy but when i bought it it smelled a bit after soaking in water for three to four days the smell is gone the child used it ok i will take it to a bike to check the quality,English,Positive
authentic rockbros shipping is fast secured no damage thank yu,English,Positive
good quality item as described superfast delivery by seller well packed and trusted,English,Positive
thank you seller sa bilis ng inyong shipping maganda ang product mukhang matibay mayrong pang freebies thank you again,Mixed/Other,Positive
product quality standard product quality thank you store the water bottle is really great light and very useful when driving on the street thanks a lot prices are extremely reasonable,English,Positive
true to description same as picture product quality good light easy to use affordable will buy again and again to use securely packed securely,English,Positive
suitability very  good,English,Positive
ive been using the rockbros water bottle for a while now and its been a reliable companion during my activities its durability stands out with the bottle holding up well even after several drops and bumps the leakproof design is impressive ive had no issues with spills even when carried in my bag alongside other items the bottles simple design makes it incredibly easy to use the cap screws on smoothly and securely however i wish it had more insulation for temperature retention overall its a durable leakproof and convenient water bottle thats perfect for daily use,English,Positive
the product is impressive offering a seamless blend of functionality and design its userfriendly interface makes navigation a breeze catering to both techsavvy individuals and novices the build quality is topnotch ensuring durability the array of features enhances versatility meeting diverse needs performance exceeds expectations with swift response times and efficient functionality the products reliability instills confidence backed by robust engineering the sleek design adds a touch of sophistication complementing any environment however the price point might be a consideration for budgetconscious consumers overall its a commendable product excelling in performance design and user experience,English,Positive
efficacy good the kettle is practical the gift is great the sellers service is very good the delivery speed is fast and the shopping experience is great,English,Positive
good shop fast delivery very good come back to buy a new one,English,Positive
shipping the box is not shockproof but the box is very thick the shipping made the parcel wet in the rain but i want to take a break its okay quality since using it for a while no problems have been found it is not difficult to connect to the bike,English,Positive
product quality good true to the description good delivery this combo is very good comes with both screws and hexagons the quality of the bottle is very good filled with water reverse styles that the water does not splash the frame of the bottle is thick tightin short ok,English,Positive
usage good product delivery took a long timepacking wellproduct coverthe quantity of the product at the beginning although the product is not complete but the shop cares about delivering the parts that are not complete followed after that this is considered good i want to seeand will definitely support again🥰🤟🥰,English,Positive
okie na okie kapit na kapit ung bottle at hnde sya umaalog kht nadaan ako sa mga lubak2x,Filipino,Positive
effiency good the quantity of the goods is correct the quality is good the bottle cage also comes with a hexagonal wrench praise the sports kettle comes with a dust cover to prevent dirt praise,English,Positive
the shops bicycle water bottle is very good i have bought many products from the shop and am very satisfied with the product give the shop and delivery staff 5 stars,English,Positive
true to the description beautiful water bottle product quality temporarily stable used a lot will be scratched sturdy water frame easy to use water bottle,English,Positive
fast delivery shop ui shop is as good as new still support the shop,English,Positive
usage good 1received the product on the cover fast delivery works well 2fast delivery works well the product is genuine 3 my review is really bought for use but lazy to print,English,Positive
received the product successfully good fast delivery the product is well packaged no damage yes it works well the price is cheap the price is very good,English,Positive
usage good delivery on time products from abroad wait a little bit good quality,English,Positive
fast reply from the seller and good service the quality is good with the affordable price will buy again after this,English,Positive
the product is exactly as described carefully packed with screws and caps attached,English,Positive
true to the description oke product quality beautiful it also looks quite sturdy cheap too,English,Positive
good product quality careful packing reviews support shop support,English,Positive
product quality ok true to description true when i looked at the picture i saw that the water bottle was loose easy to break but when i ordered it it was different tens of thousands of dollars but i got a water bottle frame with the one the water bottle is always drinking the frame of the water bottle is very sturdy it looks fierce from the outside i still want to break it the water bottle is ok but its a bit easy to scratch too cool cheap too ok rockbros dont need to talk about quality anymore 10 stars,English,Positive
product quality good fast delivery and well packed high quality will buy more,English,Positive
not a bottle expert weight is light and it did the work fast delivery,English,Positive
salamat seller shopee and rider may magagamit na ang anak qo kapag nag babike,Filipino,Positive
looks sturdy and good quality serves its purpose,English,Positive
true to the description the product is temporary there is a place where the knot is quite ok when you buy it you still have to use lemon to remove the smell of plastic overall satisfied with this product image for receiving coins,English,Positive
product quality true to the description dung photos and videos are for coin only fast delivery and correct model,English,Positive
the product is so beautiful and amazing i couldnt have expected more thank you supplier manufacturer thank you seller thank you ecommerce platform thank you shipper for giving me the opportunity to use such a good product packaging is very nice indeed the seller sent a lot of thoughts and feelings while packing the box shows no signs of dents indicating that the shipping department has been lifted like an egg like a flower thank you very much for everything shipping time is very reasonable i placed an order with an excited attitude waiting to experience the product and i didnt have to wait for my neck it can be seen that the carrier does not mind the weather and long distances to deliver the product to me in the shortest time,English,Positive
product quality good true to description good the product is delivered very quickly guys also if you bought it on sale you will get a lot of discount,English,Positive
product quality too good to be ok true to the description so good thats right you guys are very good the rubber cap is too good to give a hexagon too,English,Positive
usage good the product is of good quality the price is affordable strong and durable and the color is fresh and beautiful really suitable for use,English,Positive
usage excellent the shops products are already packaged with bubble wrap to deliver to their destination quickly including the quality of the products i recommend this shop if anyone is looking for it you will not be disappointed in this shop,English,Positive
product quality ok true to description true i have used it it is very convenient it is also very reasonable compact clean easy to carry,English,Positive
true to the description product quality thank you thank you guys shops services good product packaging fast shipping will continue donate,English,Positive
product quality good true to description true the product is delivered in accordance with the description of the store the packaging is very careful and secure the delivery time is earlier than expected will continue to support the shop,English,Positive
items order well received in good condition item received as per advertised fast delivery from seller good products and services i am satisfied with products and services i am happy customer🤗 thank you so much,English,Positive
true to the description the product matches the sellers description product quality good product quality compared to the price range the water bottle and frame are beautifully designed,English,Positive
the store packaged the goods well the holder holds the water bottle quite tight need to wait and see the durability in the long run again the material bottle is ok easy to pick up overall its a great value for this price plus you get a set,English,Positive
nice bottle and price good quality for the price i thought it was big but its not too big careful packing fast delivery and fast delivery,English,Positive
maraming beses na ako nakapag order sa shop nato at ni minsan hindi ako na disappoint order pa ako ulit next time salamat,Filipino,Positive
salamat seller ganda and quality pa sana tumagal sya sulit na sulit pero mo dito medyo matagal nga lang dumating pero goods na goods naman yung item salamat shopee,Filipino,Positive
these products are arrived in very good condition finally the long wait is over but it is worth it no damage value for money not yet install happy costumer here good job seller and shopee,English,Positive
maraming beses na ako nakapag order sa shop nato at ni minsan hindi ako na disappoint order pa ako ulit next time salamat,Filipino,Positive
usage there are bearings and medium boots making it rotate well no noise reducing color damage shipped from abroad waiting for the product not long,English,Positive
ang ganda sulidt hank you seller at sa rider,Filipino,Positive
true to description great product product quality very goods ok good tks shop and shopee team with shipping,English,Positive
like it sakto dun sa m5100 ko kung may ibang kulay lang sana bili pa ako ng iba pero ayos,Filipino,Positive
ok n ok,Mixed/Other,Positive
get a big set of flashing lights cheap products get it at a promotional price its like its free the quality of the product is very good the product really works and will come back to support again buy all the app its worth it,English,Positive
good,English,Positive
performance good,English,Positive
suitability 1010,English,Positive
thank you kuya rider at kay seller,Filipino,Positive
dipa na ta try pero mukang goods dederetcho na mamaya sa bike shop,Filipino,Positive
thank you,English,Positive
the product is exactly as ordered i have ordered more products,English,Positive
very good,English,Positive
performance bery bery mats good,Mixed/Other,Positive
ok good product clean give the shop 1000 stars,English,Positive
sobrang ganda,Filipino,Positive
thanks seller,English,Positive
got my order today ang ganda nya i really love it po thank you so much sa seller at kay kuya rider na naghatid ng parcel ko,Filipino,Positive
all is all star nalang kahit nuong march 18 pa dapat ito darating ngaung araw lang hinatid samin pero okay lang naman samin po maraming salamat po sa rider sa seller,Filipino,Positive
usage good the store packaged the goods well the holder holds the water bottle quite tight need to wait and see the durability in the long run again the material bottle is ok easy to pick up overall its a great value for this price plus you get a set,English,Positive
suitability fit well,English,Positive
quality 10,Mixed/Other,Positive
satisfied talaga ako sa ztto,Filipino,Positive
good legit²,Mixed/Other,Positive
goods,English,Positive
maganda,Filipino,Positive
nice product,English,Positive
product quality,English,Positive
product quality good true to description yes,English,Positive
good quality,English,Positive
true to the description,English,Positive
good sound,English,Positive
ready to install steady boss,English,Positive
efficiency of course not comparable to ceramic bearings generally the bearings are very smooth but not slippery and cannot be compared with ceramic bearings,English,Positive
safely arrive with good condition,English,Positive
safely arrive with good condition,English,Positive
thanks,English,Positive
suitability good,English,Positive
quality,English,Positive
quality good,English,Positive
quality good,English,Positive
suitability good,English,Positive
great for long rides bottle holds alot of water will order from this shop again,English,Positive
been using it for family time cycling every weekend,English,Positive
product quality good true to description true good quality good product friendly price will continue to support,English,Positive
beautiful very fast delivery,English,Positive
usage good quality good,Mixed/Other,Positive
usage good,Mixed/Other,Positive
usage good beautiful,English,Positive
best thank you for the free bike bottle holder best thank you for the free bike bottle holder best thank you for the free bike bottle holder best thank you for the free bike bottle holder best thank you for the free bike bottle holder,English,Positive
perfect,English,Positive
very good product i bought it for the 3rd time to recommend to friends,English,Positive
all very good received as advertised,English,Positive
product quality excellent true to the description standard,English,Positive
ganda ng item,Filipino,Positive
not that bad act seems good already senang masuk keluar botol,Mixed/Other,Positive
all are plastic hope it doesnt break but it also looks nice and worth buying,English,Positive
good quality product for the price range will buy again to support the shop its very beautiful,English,Positive
item as in the picture best delivery,English,Positive
order received in good condition quality product,English,Positive
thank you bosssfast arrived to buy kat china pon thank you200,English,Positive
welcome to trusted sandakan ‍‍‍,Mixed/Other,Positive
usage good,English,Positive
water bottle for sure beautiful good plastic,English,Positive
item received in good condition thank you seller,English,Positive
item arrived well,English,Positive
good,English,Positive
usage point is rubber water does not leak quality good,English,Positive
good quality received with thank you to seller and dispatch suitable for student,English,Positive
product quality deppp true to the description shippp ratt nahh beautiful and delicious nnn fast shipppp,Mixed/Other,Positive
nice bottle cover a bit tight overall is good,English,Positive
it is suitable for the price,English,Positive
put it on and lol,English,Positive
light and comes with a nut to attach to the bike ready,English,Positive
fast delivery good product,English,Positive
good price and quality,English,Positive
best and economical choice highly recommended,English,Positive
best 1010,Mixed/Other,Positive
true to the description ok beautiful and compact,English,Positive
delivered to the shipping unit super long,English,Positive
true to description yes product quality plastic quality beautiful,English,Positive
temporarily ok goods will give the shop 5 stars,English,Positive
product quality good true to description true,English,Positive
nice item just a little slow to act,English,Positive
maganda ang item at durable thank you seller,Filipino,Positive
good product quality fast delivery excellent service by seller,English,Positive
usage very good the material is light but strong and tight worth it,English,Positive
good in packaging thanks to seller,English,Positive
true to the descriptiontot product quality exactly as the model 10 points,English,Positive
8pm dumating 3times na nadelay lasing pa yung driver hays pero maganda product,Filipino,Positive
item has been received good product good product but especially i like the style of ship spx in the apartment area a,English,Positive
good product durable plastic very satisfied with this product cheap and nice,English,Positive
product quality good true to description true products are carefully packed,English,Positive
nice water bottle nice color nma a bit smelly ship super fast 2 days to arrive,English,Positive
product quality good true to description very true the shop comes with a screw that doesnt fit the car i dont know if its the car or the shop,English,Positive
good smpi water bottle safely no less beautiful color,English,Positive
thank you seller items from far away arrived quickly cheap and ok,English,Positive
very good and useful item very recommended for you and i,English,Positive
beautiful items all children like it thank you seller,English,Positive
legit 1010,Mixed/Other,Positive
product quality ok true to description true will support the shop,English,Positive
the bottle is beautiful as described a bit long the smell of plastic is a bit much but its ok,English,Positive
true to the description ok product quality ok light and easy to use,English,Positive
highly recommended super high quality pala nito definitely will order again soon basta sale at free shipping thanks po,Mixed/Other,Positive
fast delivery item as described it’s easy to use too,English,Positive
items next days received fast delivery,English,Positive
true to the description ok product quality ok very fast delivery time product packaging is very nice and good quality,English,Positive
good product fast delivery enthusiastic staff quite durable product,English,Positive
product quality good true to description true to description international goods but fast delivery affordable prices,English,Positive
true to description true product quality good pretty good the bottle is durable and sturdy and convenient to use the color is also beautiful,English,Positive
items received successfully with the good condition n value for money n good product quality and good seller service and fast delivery recommendedthank you3,English,Positive
until in good condition quality goods last night order today arrived,English,Positive
true to the description ok product quality ok fast delivery reasonable price good quality exactly as described,English,Positive
performance made of durable materials easy to put and remove from the cage,English,Positive
good quality easy to install and works really well packaging was nice and delivery was fast,English,Positive
product quality true to the description dung mau fast delivery correct model easy to use plastic water bottle,English,Positive
the product arrived a few days ago and then i have installed it the product is of good quality thank you very much,English,Positive
good quality fast delivery,English,Positive
best the price is cheap compared to others fast delivery,English,Positive
the delivery is so fast everything is ok the kids like the color nature is beautiful too thank you,English,Positive
the product is definitely ok,English,Positive
true to description true to description product quality good product quality is good fast delivery to order fast on order,English,Positive
great quality hindi talaga madaling matanggal yung water bottle sa case nya causing gasgas abot sa water bottle pero okay lang salamat sa seller and rider,Filipino,Positive
usage good material strong works well,English,Positive
rock bros your the best i highly recommend this seller and shop,English,Positive
received in good condition item came well packaged original product and good quality and design love it thank you seller,English,Positive
true to the description beautiful vase product quality plastic quality is ok will support the shop in the future,English,Positive
used goods are also ok fit snugly delivery is also well packed nothing to complain about next time i buy,English,Positive
very nice fast delivery received in good condition hopefully can be last long thank you,English,Positive
received in good condition good quality and the holder comes with the screws hope it lasts,English,Positive
fast delivery and recieved item in good condition maganda siya at matibay,Mixed/Other,Positive
usage very good product the product is exactly like the picture easy to install beautiful i recommend it,English,Positive
will order again,English,Positive
suitability definitely,English,Positive
legit,English,Positive
product as described fast delivery,English,Positive
good material fast delivery thank you seller cant repeat again,English,Positive
okie real pp plastic is ok for the price,English,Positive
product is in perfect condition everything is there inside the package thank you seller,English,Positive
good condition will try soon shipping one weekk from china thanks seller,English,Positive
arrived safelythanks seller will repeat order again,English,Positive
good product quality price suitable for the price it is recommended to buy it,English,Positive
quality sealed bearing,English,Positive
ok kaayo ni bai,Mixed/Other,Positive
suitability 1010,English,Positive
performance good,English,Positive
maganda mas maganda pa sa jowa ko,Filipino,Positive
think you seller,English,Positive
legit na legit,Filipino,Positive
good nagustuhan ng anak ko thank you,Filipino,Positive
salamat po,Filipino,Positive
all goods makapit pa mas lalo pumogi bike ko,Filipino,Positive
malakas sya kaso isa pa ang naikabit ko,Filipino,Positive
performance good,English,Positive
performance good,English,Positive
performance goods,English,Positive
performance goods,English,Positive
quality beautiful as advertised,English,Positive
suitability good,English,Positive
quality goods,English,Positive
good quality,English,Positive
fast delivery,English,Positive
goods quality🤍,English,Positive
good packaging,English,Positive
quality good quality,English,Positive
quality worth it,English,Positive
performance very good,English,Positive
quality good,English,Positive
quality 98,Mixed/Other,Positive
may small scratch pero okay syaa very nice,Filipino,Positive
medjo may gasgas di naka bubble wrap bwct,Filipino,Positive
good salamat sa seller og sa shoppe,Filipino,Positive
ok na ok original,Mixed/Other,Positive
10000,Mixed/Other,Positive
tatak original highly recommended,Mixed/Other,Positive
matibay sya nagustohan ko,Filipino,Positive
thank u so much,English,Positive
suitability 100,Filipino,Positive
all goods,English,Positive
original parts,English,Positive
ganda super legit,Mixed/Other,Positive
wow ang ganda niya,Filipino,Positive
goods na goods wlang dmage,Filipino,Positive
sobrang lakas goods na goods,Filipino,Positive
wra freebies pero 4 parin,Filipino,Positive
maganda sya made in malaysia,Filipino,Positive
quality good,English,Positive
legit po sya tnx seller,English,Positive
good,English,Positive
may gasgas pero ok nmn,Filipino,Positive
thank you seller,English,Positive
goods na good,Mixed/Other,Positive
ganda naligaw pa sila kuya haha,Filipino,Positive
performance very good,English,Positive
suitability very rare,English,Positive
performance arrived early,English,Positive
quality good,English,Positive
quality goods,Mixed/Other,Positive
performance all goods,English,Positive
arrived early good condition,English,Positive
suitability perfect,English,Positive
quality matibay,Filipino,Positive
sana tumagal,Filipino,Positive
performance good and legit,English,Positive
quality swak na swak,Filipino,Positive
good,English,Positive
suitability goods,English,Positive
performance good,English,Positive
quality good,English,Positive
performance good,English,Positive
suitability good,English,Positive
suitability goods,English,Positive
suitability 1010,English,Positive
performance 1010,Mixed/Other,Positive
quality good,English,Positive
quality solid,English,Positive
suitability good,English,Positive
performance 1010,English,Positive
quality ganda,Mixed/Other,Positive
quality very good,English,Positive
excelent quality,English,Positive
very good,English,Positive
performancecustomer satisfied,English,Positive
legit mt200,English,Positive
performance 1010,English,Positive
nice,English,Positive
performance good,English,Positive
performance very good,English,Positive
performance very good,English,Positive
good condition,English,Positive
goods ang quality,Mixed/Other,Positive
quality 10,Mixed/Other,Positive
high quality galing,Mixed/Other,Positive
performance Ok,English,Positive
quality goods,English,Positive
good quality po sya,Filipino,Positive
ganda nya bilis dumating,Filipino,Positive
good quality thanks seller,English,Positive
nice good quality 100 performance legit,English,Positive
good quality ganda,Mixed/Other,Positive
nice,English,Positive
suitability sulit murang mura lang,Filipino,Positive
quality 100,Mixed/Other,Positive
legit po salamat seller,Mixed/Other,Positive
thank you seller,English,Positive
napaka sulit ty po,Filipino,Positive
good,English,Positive
ok,English,Positive
okc,English,Positive
good,English,Positive
goods,English,Positive
solid,English,Positive
goods,English,Positive
1010,Mixed/Other,Positive
thanks,English,Positive
legit,English,Positive
performance good,English,Positive
ganda,Filipino,Positive
excellent,English,Positive
goods,English,Positive
ok,English,Positive
goods,English,Positive
smoothie,English,Positive
nice,English,Positive
good,English,Positive
goodshit,English,Positive
nice,English,Positive
reccomended,English,Positive
ok,English,Positive
maganda ang quality,Filipino,Positive
nice,English,Positive
quality good,English,Positive
cheap and light but maybe because its still new mybs bearing is rough again use lelame die smooth,English,Positive
maraming beses na ako nakapag order sa shop nato at ni minsan hindi ako na disappoint order pa ako ulit next time salamat,Filipino,Positive
maganda yung quality niya at magaan siya perfect po siya kapag mahilig sa mga keychains dahil it looks so beautiful,Filipino,Positive
true to the description ok product quality ok nice product,English,Positive
salamat seller ang product na ito ay napakaganda at subrang tibay nya malakas umikot kasi bearing sya legit na legit talaga,Filipino,Positive
efficacy good the seller shipped quickly received the product correctly no problem after using it will continue to repurchase,English,Positive
received the correct product according to the desired quantity the delivery speed is very good the delivery staff is very good it is a product product from china it uses a really good delivery speed and it works well with mountains,English,Positive
shipped immediately and packed safely mukhang matibay sya tamang tama to para hindi batak na batak pag umahon thank you seller 🫶,Filipino,Positive
performance should function as intended,English,Positive
product quality true to description true,English,Positive
its a little running smoothly he has a bearing for him,English,Positive
thanks seller and shoppee,English,Positive
thanks seller and shoppee,English,Positive
true to description good product quality good tb dear customers to update viettels customer care and promotions choose follow viettel tiktok customer care channel at httpswwwtiktokcomviettelcskh to get the fastest information best regards,English,Positive
have to be tested out yet good buy hope it will last thank you seller and rider ride seyp paynal,Mixed/Other,Positive
the product is normal check the package tightly wrapped where is the damage to the product check the product is very beautiful the patience must have to look again,English,Positive
product qualityn true to the description dung elephant mo ta in general this gear is durable take it out and apply cows fat glass to run,English,Positive
performance good,English,Positive
performance good,English,Positive
goods,English,Positive
suitability good,English,Positive
good,English,Positive
maganda,Filipino,Positive
performance ok lang naman,Filipino,Positive
goods,English,Positive
performance,English,Positive
thanks seller,English,Positive
good,English,Positive
ok naman,Filipino,Positive
legit maganda,Filipino,Positive
salamat po,Filipino,Positive
goods na goods,EM,Positive
maganda ung brake,Filipino,Positive
goods walang palpak,Filipino,Positive
ganda salamat seller,Mixed/Other,Positive
suitability good items legit,English,Positive
ang gandaaa,Filipino,Positive
very good,ENGlish,Positive
suitability 10,Mixed/Other,Positive
goods lahat,Mixed/Other,Positive
performance8,English,Positive
maganda mukhang matibay,Filipino,Positive
performance 9,Mixed/Other,Positive
quality 10,Mixed/Other,Positive
good very nice,English,Positive
thank you po,Mixed/Other,Positive
excellent product,English,Positive
complete items posalamat,Mixed/Other,Positive
legit,English,Positive
bukas ko pa ipapakabit thanks seller,Filipino,Positive
napakaganda,Filipino,Positive
legit,English,Positive
ganda,Filipino,Positive
quality,English,Positive
ayos,Filipino,Positive
good quality,English,Positive
good,English,Positive
good,English,Positive
nice,English,Positive
photo and video not related to the product thank you uwu haha wow amazing related wow wow ueuw haha,English,Negative
thanks seller medyo maliit sya but it looks like its comfortable,English,Negative
so disappointed waste of time and money cogs teeth some are worn out some not same shape or sizes and some pointed to other directions its up to you to order or not if you dont believe me,English,Negative
very poor packaging,English,Negative
1 week bago dumating,Filipino,Negative
am ok nmn yung product walang gasgas or dents na nakita at sana improve pa ng seller ang boxing type mas maganda kase tignan kung same dn yung product and box ng brand at mas maganda separate left and rigth brakes para iwas gas gas pag deniliver ayun lng sana walang tagas pag kinabit ko na sya ty seller sa mag improve kayo muah,Filipino,Negative
hi fee ko can you for up card up few up card ill tx hmm tx ill tx ill from ill rd hp from ill fix ill from hmm de,English,Negative
item received in good condition but water bottle is made of cheap plastic would not use for drinking,English,Negative
d maganda pagkabalot balot di naka separate puro gas gas yung item bak bak yung pintal at yung ibang part na gas gas talaga d nag iisip yung nag balot pero ok yung pagka balot lng talaga d ok buti pa si guro bata nag iisip pa,Filipino,Negative
cover,English,Negative
hindi nmn match yung bottle cage sa holder naka angat,Filipino,Negative
received the product the product is shipped a little weekly personally the cushion looks much thicker than the old stuff i wear it and it looks bigger i dont know how but the beauty is full of hundreds very beautiful it will last the style and shape are very beautiful,English,Negative
